ADC,DAC
886,49
838,45
785,41
740,37
670,34
628,32
594,31
576,30
581,31
576,32
569,34
586,68
938,71
1086,73
1158,76
1200,77
1237,78
1253,79
1280,79
1280,78
1258,77
1255,75
1233,73
1214,72
1182,70
1171,69
1139,68
1128,67
1115,67
1105,66
1095,66
1094,65
1094,64
1070,63
1038,61
1001,58
963,54
906,50
864,46
815,42
741,37
669,33
623,30
578,28
527,27
499,28
501,29
508,32
561,37
631,42
675,48
746,54
816,61
930,66
1036,71
1121,75
1259,77
1233,78
1265,78
1264,75
1219,72
1203,68
1139,63
1067,58
982,53
909,48
832,45
801,42
746,41
720,41
692,43
704,45
753,48
785,52
832,56
879,60
948,64
1023,67
1075,69
1104,71
1139,71
1143,70
1149,69
1137,67
1127,65
1095,63
1043,60
1008,59
974,58
962,58
954,58
945,60
967,62
994,64
1043,67
1084,70
1127,73
1162,75
1207,77
1232,78
1254,78
1262,78
1263,77
1243,76
1254,74
1221,72
1141,70
1167,68
1141,67
1119,65
1105,64
1072,63
1033,63
1023,62
1008,62
1008,61
994,59
973,57
942,55
921,52
881,48
829,45
784,41
730,37
679,33
622,30
572,28
541,27
508,27
499,29
522,32
550,36
608,41
668,47
753,54
832,60
923,66
1023,71
1114,75
1178,78
1232,79
1262,78
1261,77
1261,73
1209,69
1168,64
1103,59
1002,54
928,50
877,46
815,43
758,41
717,41
704,42
703,44
735,48
754,51
834,56
894,60
938,64
1014,67
1085,70
1120,71
1137,72
1156,71
1165,70
1159,68
1146,66
1108,64
1078,61
1018,60
983,58
944,58
947,58
950,59
960,61
991,63
1008,65
1046,68
1100,71
1132,73
1171,75
1201,76
1225,77
1246,77
1245,76
1245,74
1210,72
1198,70
1166,68
1137,66
1111,64
1079,62
1047,61
1003,59
991,59
961,58
947,57
944,56
914,55
899,54
899,52
880,49
837,46
794,43
753,39
705,35
642,32
598,29
557,27
500,26
497,27
507,28
499,31
535,35
590,40
640,46
731,52
816,59
906,65
1010,70
1111,74
1169,77
1216,79
1264,79
1273,77
1264,74
1225,70
1185,65
1105,60
1019,55
932,50
880,46
816,43
768,41
721,40
704,41
702,43
727,46
737,50
801,54
838,58
914,62
976,66
1061,69
1105,71
1141,72
1165,72
1170,71
1163,69
1154,67
1117,64
1088,62
1038,60
994,58
963,57
942,57
946,57
944,59
951,61
971,63
999,66
1073,68
1098,71
1136,73
1171,74
1194,74
1207,74
1213,73
1182,72
1184,70
1163,68
1136,65
1094,63
1058,60
1007,58
967,56
942,55
912,54
894,53
886,53
870,52
869,51
854,50
839,48
816,46
790,43
770,41
712,37
657,34
627,31
588,29
551,27
527,26
490,26
478,27
490,30
525,34
573,39
639,45
720,51
810,57
838,63
976,69
1076,73
1149,77
1212,78
1246,79
1262,77
1259,75
1229,71
1191,66
1127,61
1033,55
946,50
880,46
815,42
751,40
709,39
693,39
